,OffenseTeam,DefenseTeam,Down,ToGo,Formation,PlayType,DefensePassRank,DefenseRunRank
7799,MIN,ATL,2,10,UNDER CENTER,1,29,15
7800,MIN,ATL,1,10,UNDER CENTER,1,29,15
7801,MIN,ATL,3,5,SHOTGUN,1,29,15
7802,MIN,ATL,2,24,SHOTGUN,1,29,15
7804,MIN,ATL,1,10,UNDER CENTER,0,29,15
7806,ATL,MIN,1,10,UNDER CENTER,1,30,22
7807,ATL,MIN,1,10,SHOTGUN,1,30,22
7808,ATL,MIN,3,3,SHOTGUN,1,30,22
7810,ATL,MIN,3,11,SHOTGUN,1,30,22
7811,ATL,MIN,2,14,SHOTGUN,1,30,22
7812,ATL,MIN,1,10,UNDER CENTER,0,30,22
7813,ATL,MIN,2,1,UNDER CENTER,0,30,22
7814,ATL,MIN,1,10,UNDER CENTER,0,30,22
7817,DET,JAX,3,4,SHOTGUN,1,31,27
7818,TEN,BUF,2,7,SHOTGUN,1,10,24
7820,PHI,NYG,2,5,NO HUDDLE SHOTGUN,0,11,9
7825,KC,BUF,1,10,SHOTGUN,0,10,24
7826,BUF,KC,1,10,SHOTGUN,1,19,19
7828,MIA,NYJ,2,3,UNDER CENTER,1,23,6
7829,MIA,NYJ,1,4,SHOTGUN,0,23,6
7830,NE,DEN,1,10,UNDER CENTER,1,15,29
7831,NE,DEN,2,8,UNDER CENTER,1,15,29
7832,DEN,NE,1,10,UNDER CENTER,0,24,17
7833,DEN,NE,3,8,SHOTGUN,1,24,17
7834,DEN,NE,2,10,UNDER CENTER,0,24,17
7835,DEN,NE,1,10,UNDER CENTER,1,24,17
7836,NE,DEN,1,10,SHOTGUN,0,15,29
7837,NE,DEN,3,4,SHOTGUN,1,15,29
7838,NE,DEN,2,4,SHOTGUN,0,15,29
7840,DEN,NE,3,7,SHOTGUN,1,24,17
7841,DEN,NE,2,7,SHOTGUN,1,24,17
7843,HOU,GB,3,25,SHOTGUN,1,9,21
7847,GB,HOU,3,2,SHOTGUN,1,28,31
7848,GB,HOU,2,6,SHOTGUN,0,28,31
7849,GB,HOU,2,3,SHOTGUN,1,28,31
7850,GB,HOU,1,5,SHOTGUN,0,28,31
7853,CIN,CLE,4,1,UNDER CENTER,1,18,12
7856,CIN,CLE,1,10,SHOTGUN,1,18,12
7857,CLE,CIN,2,8,UNDER CENTER,1,26,31
7858,CLE,CIN,1,10,UNDER CENTER,0,26,31
7859,CLE,CIN,1,10,UNDER CENTER,1,26,31
7862,CIN,CLE,2,10,SHOTGUN,1,18,12
7863,CIN,CLE,1,10,SHOTGUN,1,18,12
7864,CIN,CLE,2,10,SHOTGUN,1,18,12
7866,CLE,CIN,2,7,UNDER CENTER,1,26,31
7867,CLE,CIN,1,10,UNDER CENTER,0,26,31
7868,CLE,CIN,1,10,UNDER CENTER,1,26,31
7869,CIN,CLE,2,9,SHOTGUN,1,18,12
7870,CIN,CLE,1,10,SHOTGUN,0,18,12
7871,CIN,CLE,2,3,SHOTGUN,0,18,12
7872,CIN,CLE,1,10,UNDER CENTER,0,18,12
7875,CLE,CIN,3,3,SHOTGUN,1,26,31
7876,CLE,CIN,2,5,UNDER CENTER,0,26,31
7877,CLE,CIN,1,10,UNDER CENTER,0,26,31
7879,NO,LAC,3,6,SHOTGUN,1,14,20
7882,LAC,NO,1,10,SHOTGUN,1,5,5
7884,NO,LAC,2,4,NO HUDDLE SHOTGUN,1,14,20
7885,NO,LAC,1,10,NO HUDDLE SHOTGUN,1,14,20
7886,NO,LAC,1,10,NO HUDDLE SHOTGUN,1,14,20
7888,IND,CIN,2,10,SHOTGUN,1,26,31
7889,IND,CIN,1,10,UNDER CENTER,1,26,31
7891,IND,CIN,3,10,SHOTGUN,1,26,31
7893,IND,CIN,2,10,SHOTGUN,1,26,31
7894,IND,CIN,1,10,NO HUDDLE SHOTGUN,1,26,31
7895,IND,CIN,2,9,NO HUDDLE SHOTGUN,1,26,31
7896,CIN,IND,1,10,UNDER CENTER,0,16,2
7898,CIN,IND,1,7,SHOTGUN,0,16,2
7901,ARI,NYJ,1,10,SHOTGUN,1,23,6
7904,HOU,JAX,3,3,SHOTGUN,1,31,27
7905,HOU,JAX,1,10,NO HUDDLE SHOTGUN,1,31,27
7906,JAX,HOU,2,7,SHOTGUN,1,28,31
7907,JAX,HOU,1,10,UNDER CENTER,0,28,31
7909,JAX,HOU,1,10,SHOTGUN,1,28,31
7911,JAX,HOU,2,6,SHOTGUN,1,28,31
7913,JAX,HOU,1,10,SHOTGUN,0,28,31
7914,JAX,HOU,1,6,SHOTGUN,1,28,31
7915,JAX,HOU,3,10,SHOTGUN,1,28,31
7916,JAX,HOU,1,10,SHOTGUN,1,28,31
7917,JAX,HOU,3,4,SHOTGUN,1,28,31
7919,JAX,HOU,2,6,SHOTGUN,1,28,31
7920,JAX,HOU,1,10,UNDER CENTER,0,28,31
7922,JAX,HOU,3,6,SHOTGUN,1,28,31
7924,JAX,HOU,1,10,SHOTGUN,1,28,31
7926,JAX,HOU,2,12,SHOTGUN,1,28,31
7927,JAX,HOU,1,15,UNDER CENTER,1,28,31
7930,HOU,JAX,3,12,SHOTGUN,1,31,27
7931,HOU,JAX,2,12,SHOTGUN,1,31,27
7932,CIN,IND,1,4,NO HUDDLE SHOTGUN,0,16,2
7933,CIN,IND,2,8,SHOTGUN,1,16,2
7934,CIN,IND,1,10,UNDER CENTER,0,16,2
7935,CIN,IND,2,4,SHOTGUN,0,16,2
7936,CIN,IND,1,10,SHOTGUN,0,16,2
7938,CAR,CHI,1,10,NO HUDDLE SHOTGUN,1,17,8
7941,CAR,CHI,1,1,UNDER CENTER,0,17,8
7944,CHI,CAR,3,1,UNDER CENTER,0,12,28
7945,CHI,CAR,2,1,SHOTGUN,0,12,28
7946,CHI,CAR,1,1,UNDER CENTER,0,12,28
7947,LAC,NO,1,10,SHOTGUN,0,5,5
7948,MIN,SEA,2,1,UNDER CENTER,0,13,4
7949,MIN,SEA,1,10,UNDER CENTER,1,13,4
7951,SEA,MIN,2,8,SHOTGUN,1,30,22
7952,SEA,MIN,1,10,SHOTGUN,1,30,22
7953,MIN,SEA,3,7,SHOTGUN,1,13,4
7954,MIN,SEA,2,7,SHOTGUN,1,13,4
7956,MIN,SEA,1,10,NO HUDDLE SHOTGUN,1,13,4
7958,MIN,SEA,3,17,SHOTGUN,1,13,4
7959,MIN,SEA,2,1,UNDER CENTER,0,13,4
7960,MIN,SEA,1,10,UNDER CENTER,1,13,4
7961,MIN,SEA,4,2,SHOTGUN,1,13,4
7962,MIN,SEA,3,7,SHOTGUN,1,13,4
7963,MIN,SEA,2,10,UNDER CENTER,0,13,4
7964,MIN,SEA,1,10,UNDER CENTER,1,13,4
7965,DAL,NYG,2,11,SHOTGUN,1,11,9
7966,DAL,NYG,1,10,UNDER CENTER,0,11,9
7967,NYG,DAL,3,6,SHOTGUN,1,21,30
7968,NYG,DAL,2,4,UNDER CENTER,0,21,30
7971,DAL,NYG,1,10,UNDER CENTER,0,11,9
7972,NYG,WAS,2,13,SHOTGUN,0,2,11
7973,NYG,WAS,1,10,UNDER CENTER,0,2,11
7975,WAS,NYG,2,10,UNDER CENTER,0,11,9
7976,WAS,NYG,1,10,UNDER CENTER,1,11,9
7978,MIN,ATL,1,10,NO HUDDLE SHOTGUN,1,29,15
7979,IND,CIN,1,10,NO HUDDLE SHOTGUN,0,26,31
7981,BUF,TEN,2,7,SHOTGUN,0,22,18
7982,BUF,TEN,1,10,SHOTGUN,0,22,18
7983,BUF,TEN,3,8,SHOTGUN,1,22,18
7985,TEN,BUF,3,20,SHOTGUN,1,10,24
7987,TEN,BUF,2,10,UNDER CENTER,0,10,24
7988,TEN,BUF,1,10,UNDER CENTER,1,10,24
7990,BUF,TEN,2,1,SHOTGUN,1,22,18
7991,BUF,TEN,1,10,UNDER CENTER,1,22,18
7992,DAL,NYG,3,6,SHOTGUN,1,11,9
7995,NYG,DAL,3,16,SHOTGUN,1,21,30
7999,DAL,NYG,1,7,NO HUDDLE SHOTGUN,1,11,9
8003,IND,CLE,1,10,SHOTGUN,1,18,12
8006,IND,CLE,3,1,SHOTGUN,0,18,12
8011,CLE,IND,3,10,SHOTGUN,1,16,2
8012,CLE,IND,2,10,SHOTGUN,1,16,2
8014,IND,CLE,3,3,SHOTGUN,1,18,12
8015,IND,CLE,2,6,UNDER CENTER,0,18,12
8017,CLE,IND,4,1,UNDER CENTER,1,16,2
8021,MIN,SEA,1,10,UNDER CENTER,0,13,4
8024,MIN,SEA,2,7,UNDER CENTER,0,13,4
8025,MIN,SEA,1,10,UNDER CENTER,0,13,4
8032,SF,PHI,4,10,SHOTGUN,1,20,10
8034,SF,PHI,3,10,SHOTGUN,1,20,10
8035,SF,PHI,2,10,SHOTGUN,1,20,10
8037,SF,PHI,1,10,SHOTGUN,1,20,10
8039,PHI,SF,2,9,UNDER CENTER,0,7,7
8041,PHI,SF,1,10,UNDER CENTER,0,7,7
8044,SF,PHI,3,1,UNDER CENTER,0,20,10
8045,SF,PHI,1,10,NO HUDDLE SHOTGUN,1,20,10
8047,PHI,SF,2,18,SHOTGUN,1,7,7
8050,PHI,SF,1,10,UNDER CENTER,0,7,7
8051,PHI,SF,4,4,SHOTGUN,1,7,7
8052,PHI,SF,3,6,SHOTGUN,1,7,7
8053,PHI,SF,1,10,UNDER CENTER,0,7,7
8054,PHI,SF,3,1,SHOTGUN,0,7,7
8055,PHI,SF,2,8,SHOTGUN,0,7,7
8056,PHI,SF,1,10,SHOTGUN,1,7,7
8057,SF,MIA,1,10,SHOTGUN,0,25,16
8058,MIA,SF,1,10,SHOTGUN,1,7,7
8061,MIA,SF,3,5,NO HUDDLE SHOTGUN,1,7,7
8062,MIA,SF,2,6,NO HUDDLE SHOTGUN,1,7,7
8063,MIA,SF,1,10,UNDER CENTER,0,7,7
8066,MIA,SF,3,22,SHOTGUN,1,7,7
8069,MIA,SF,1,3,UNDER CENTER,1,7,7
8071,MIA,SF,1,10,UNDER CENTER,0,7,7
8072,MIA,SF,1,10,SHOTGUN,1,7,7
8074,MIA,SF,1,7,UNDER CENTER,1,7,7
8076,LA,WAS,2,9,SHOTGUN,1,2,11
8077,LA,WAS,3,5,SHOTGUN,0,2,11
8078,LA,WAS,2,10,UNDER CENTER,0,2,11
8079,LA,WAS,1,10,UNDER CENTER,1,2,11
8081,LA,WAS,3,10,SHOTGUN,1,2,11
8082,LA,WAS,2,10,SHOTGUN,0,2,11
8083,LA,WAS,1,10,SHOTGUN,1,2,11
8086,NYG,DAL,3,4,SHOTGUN,1,21,30
8088,DAL,NYG,1,10,UNDER CENTER,0,11,9
8089,DAL,NYG,2,7,SHOTGUN,1,11,9
8090,DAL,NYG,1,10,UNDER CENTER,0,11,9
8091,DAL,NYG,1,10,NO HUDDLE,1,11,9
8092,DAL,NYG,2,7,SHOTGUN,0,11,9
8093,DAL,NYG,1,10,UNDER CENTER,0,11,9
8094,KC,BUF,2,3,UNDER CENTER,0,10,24
8095,KC,BUF,1,10,SHOTGUN,0,10,24
8098,KC,BUF,4,1,SHOTGUN,0,10,24
8102,KC,BUF,1,10,UNDER CENTER,1,10,24
8103,KC,BUF,3,4,SHOTGUN,1,10,24
8104,KC,BUF,2,5,SHOTGUN,0,10,24
8105,KC,BUF,1,10,UNDER CENTER,0,10,24
8106,KC,BUF,1,10,SHOTGUN,0,10,24
8109,BUF,KC,1,10,SHOTGUN,1,19,19
8110,KC,BUF,3,7,SHOTGUN,1,10,24
8112,KC,BUF,2,5,SHOTGUN,1,10,24
8113,KC,BUF,1,10,SHOTGUN,0,10,24
8114,KC,BUF,1,10,SHOTGUN,0,10,24
8115,KC,BUF,2,5,SHOTGUN,0,10,24
8116,KC,BUF,1,10,UNDER CENTER,0,10,24
8118,KC,BUF,3,4,SHOTGUN,1,10,24
8122,DAL,ARI,2,1,SHOTGUN,1,8,25
8123,DAL,ARI,1,1,SHOTGUN,1,8,25
8125,DAL,ARI,1,3,SHOTGUN,0,8,25
8127,DAL,ARI,2,8,NO HUDDLE SHOTGUN,1,8,25
8128,DAL,ARI,1,10,NO HUDDLE SHOTGUN,1,8,25
8129,CLE,CIN,1,10,UNDER CENTER,0,26,31
8130,CLE,CIN,1,10,UNDER CENTER,0,26,31
8132,CIN,CLE,1,10,SHOTGUN,1,18,12
8134,CIN,CLE,1,10,SHOTGUN,1,18,12
8135,CIN,CLE,1,2,SHOTGUN,1,18,12
8136,CIN,CLE,3,3,SHOTGUN,1,18,12
8137,CIN,CLE,2,10,SHOTGUN,0,18,12
8143,NYG,DAL,2,10,SHOTGUN,1,21,30
8144,NYG,DAL,1,10,UNDER CENTER,0,21,30
8145,NYG,DAL,2,1,UNDER CENTER,0,21,30
8148,WAS,LA,1,10,SHOTGUN,1,1,3
8149,PIT,PHI,1,10,SHOTGUN,1,20,10
8150,PHI,PIT,1,10,UNDER CENTER,0,3,13
8151,PHI,PIT,1,10,SHOTGUN,1,3,13
8155,PIT,PHI,1,7,UNDER CENTER,1,20,10
8157,PIT,PHI,1,20,UNDER CENTER,1,20,10
8159,PIT,PHI,3,2,UNDER CENTER,0,20,10
8160,PIT,PHI,2,2,UNDER CENTER,1,20,10
8161,PIT,PHI,1,10,SHOTGUN,1,20,10
8162,PIT,PHI,3,6,SHOTGUN,1,20,10
8163,PIT,PHI,2,7,UNDER CENTER,0,20,10
8164,PIT,PHI,1,10,UNDER CENTER,0,20,10
8167,NYJ,ARI,1,10,SHOTGUN,1,8,25
8168,NYJ,ARI,3,10,SHOTGUN,1,8,25
8170,NE,KC,1,10,SHOTGUN,0,19,19
8171,NE,KC,4,1,UNDER CENTER,0,19,19
8173,NE,KC,2,7,SHOTGUN,0,19,19
8174,NE,KC,1,10,UNDER CENTER,0,19,19
8176,KC,NE,2,4,SHOTGUN,0,24,17
8177,KC,NE,1,10,SHOTGUN,1,24,17
8179,NE,KC,3,4,SHOTGUN,1,19,19
8180,NE,KC,2,4,NO HUDDLE,1,19,19
8181,NE,KC,1,8,SHOTGUN,0,19,19
8183,NE,KC,1,10,UNDER CENTER,0,19,19
8186,NE,KC,1,10,UNDER CENTER,0,19,19
8189,NE,KC,3,11,SHOTGUN,1,19,19
8190,NE,KC,2,11,SHOTGUN,1,19,19
8191,KC,NE,2,10,SHOTGUN,1,24,17
8194,BAL,CIN,2,7,SHOTGUN,1,26,31
8195,BAL,CIN,3,10,SHOTGUN,1,26,31
8196,BAL,CIN,2,10,SHOTGUN,1,26,31
8197,BAL,CIN,1,10,NO HUDDLE SHOTGUN,1,26,31
8203,CIN,BAL,2,4,SHOTGUN,0,4,26
8204,CIN,BAL,1,10,SHOTGUN,1,4,26
8206,ATL,GB,3,5,SHOTGUN,0,9,21
8208,ATL,GB,1,10,UNDER CENTER,0,9,21
8209,ATL,GB,2,5,UNDER CENTER,0,9,21
8210,ATL,GB,1,10,UNDER CENTER,0,9,21
8211,GB,ATL,2,17,SHOTGUN,1,29,15
8214,GB,ATL,3,14,SHOTGUN,1,29,15
8215,ATL,GB,1,10,UNDER CENTER,0,9,21
8216,ATL,GB,4,3,SHOTGUN,1,9,21
8217,ATL,GB,3,4,SHOTGUN,0,9,21
8218,ATL,GB,2,10,SHOTGUN,1,9,21
8219,ATL,GB,1,10,UNDER CENTER,1,9,21
8220,GB,ATL,4,1,SHOTGUN,0,29,15
8221,GB,ATL,3,3,SHOTGUN,1,29,15
8222,GB,ATL,2,3,SHOTGUN,0,29,15
8223,GB,ATL,1,6,UNDER CENTER,0,29,15
8225,GB,ATL,2,2,SHOTGUN,0,29,15
8226,GB,ATL,1,10,SHOTGUN,0,29,15
8227,GB,ATL,1,10,SHOTGUN,0,29,15
8228,GB,ATL,2,2,UNDER CENTER,0,29,15
8229,GB,ATL,1,10,SHOTGUN,1,29,15
8233,CAR,ATL,3,3,SHOTGUN,1,29,15
8234,CAR,ATL,2,3,SHOTGUN,1,29,15
8236,CHI,TB,3,9,SHOTGUN,1,6,1
8238,TB,CHI,3,17,SHOTGUN,1,17,8
8239,TB,CHI,2,17,SHOTGUN,1,17,8
8241,TB,CHI,2,8,SHOTGUN,1,17,8
8242,CHI,TB,3,29,SHOTGUN,1,6,1
8244,MIA,SEA,3,3,SHOTGUN,1,13,4
8245,MIA,SEA,2,5,UNDER CENTER,0,13,4
8247,MIA,SEA,1,10,UNDER CENTER,1,13,4
8248,MIA,SEA,2,7,SHOTGUN,1,13,4
8249,MIA,SEA,1,10,SHOTGUN,0,13,4
8251,SEA,MIA,3,8,SHOTGUN,1,25,16
8252,SEA,MIA,2,8,SHOTGUN,1,25,16
8253,SEA,MIA,1,10,NO HUDDLE,0,25,16
8255,DAL,CLE,2,10,SHOTGUN,1,18,12
8256,DAL,CLE,1,10,UNDER CENTER,1,18,12
8259,CLE,DAL,1,4,UNDER CENTER,1,21,30
8260,CLE,DAL,3,6,SHOTGUN,1,21,30
8263,DAL,CLE,4,2,SHOTGUN,1,18,12
8265,DAL,CLE,3,7,NO HUDDLE SHOTGUN,1,18,12
8272,CIN,JAX,2,10,SHOTGUN,0,31,27
8275,CIN,JAX,1,10,UNDER CENTER,0,31,27
8276,JAX,CIN,1,10,SHOTGUN,1,26,31
8278,JAX,CIN,2,7,SHOTGUN,1,26,31
8279,JAX,CIN,1,10,SHOTGUN,0,26,31
8280,CIN,JAX,2,10,SHOTGUN,1,31,27
8281,CIN,JAX,1,10,UNDER CENTER,1,31,27
8282,CHI,TB,2,27,SHOTGUN,0,6,1
8286,TB,CHI,1,10,UNDER CENTER,1,17,8
8287,CHI,TB,1,10,SHOTGUN,1,6,1
8289,CHI,TB,3,3,SHOTGUN,1,6,1
8290,CHI,TB,2,3,SHOTGUN,1,6,1
8291,CHI,TB,1,3,UNDER CENTER,1,6,1
8292,CHI,TB,1,10,SHOTGUN,1,6,1
8293,CHI,TB,2,7,UNDER CENTER,1,6,1
8294,CHI,TB,1,10,UNDER CENTER,0,6,1
8297,TB,CHI,3,7,SHOTGUN,1,17,8
8298,TB,CHI,2,10,UNDER CENTER,0,17,8
8299,TB,CHI,1,10,SHOTGUN,1,17,8
8301,TB,CHI,2,5,UNDER CENTER,0,17,8
8304,CHI,TB,3,6,SHOTGUN,1,6,1
8308,SF,PHI,3,5,SHOTGUN,1,20,10
8309,SF,PHI,2,7,UNDER CENTER,1,20,10
8310,SF,PHI,1,10,UNDER CENTER,0,20,10
8311,SF,PHI,1,10,UNDER CENTER,1,20,10
8312,SF,PHI,2,8,UNDER CENTER,1,20,10
8313,SF,PHI,1,10,UNDER CENTER,0,20,10
8314,SF,PHI,1,10,UNDER CENTER,0,20,10
8316,LV,BUF,1,10,UNDER CENTER,0,10,24
8317,LV,BUF,1,10,NO HUDDLE,1,10,24
8318,LV,BUF,3,6,SHOTGUN,1,10,24
8320,BUF,LV,3,7,SHOTGUN,1,27,23
8321,BUF,LV,1,10,SHOTGUN,1,27,23
8326,NYG,LA,4,1,UNDER CENTER,1,1,3
8329,NYG,LA,1,10,NO HUDDLE SHOTGUN,1,1,3
8332,LA,NYG,1,10,UNDER CENTER,0,11,9
8333,LA,NYG,4,1,UNDER CENTER,0,11,9
8334,LA,NYG,3,5,SHOTGUN,1,11,9
8335,LA,NYG,2,5,NO HUDDLE SHOTGUN,1,11,9
8336,LA,NYG,1,10,SHOTGUN,1,11,9
8337,LA,NYG,1,10,UNDER CENTER,1,11,9
8338,ATL,GB,2,3,NO HUDDLE SHOTGUN,1,9,21
8339,ATL,GB,1,10,NO HUDDLE SHOTGUN,1,9,21
8342,ATL,GB,4,10,SHOTGUN,1,9,21
8344,ATL,GB,2,6,UNDER CENTER,1,9,21
8345,ATL,GB,1,10,UNDER CENTER,0,9,21
8346,ATL,GB,1,10,NO HUDDLE SHOTGUN,1,9,21
8347,GB,ATL,2,7,SHOTGUN,1,29,15
8348,ATL,GB,2,6,UNDER CENTER,0,9,21
8349,ATL,GB,1,10,UNDER CENTER,1,9,21
8351,ATL,GB,2,6,UNDER CENTER,1,9,21
8352,ATL,GB,1,10,UNDER CENTER,1,9,21
8356,LA,NYG,2,2,UNDER CENTER,0,11,9
8358,TB,LAC,1,10,SHOTGUN,1,14,20
8359,LV,KC,2,11,SHOTGUN,1,19,19
8360,LV,KC,1,10,UNDER CENTER,0,19,19
8361,LV,KC,3,2,UNDER CENTER,1,19,19
8363,LV,KC,2,5,UNDER CENTER,0,19,19
8364,LV,KC,1,10,SHOTGUN,0,19,19
8366,LV,KC,2,3,SHOTGUN,0,19,19
8367,LV,KC,1,10,UNDER CENTER,0,19,19
8372,LV,KC,2,5,SHOTGUN,1,19,19
8373,LV,KC,1,8,SHOTGUN,0,19,19
8374,LV,KC,2,9,UNDER CENTER,1,19,19
8375,LV,KC,1,10,UNDER CENTER,0,19,19
8378,LA,WAS,2,16,SHOTGUN,1,2,11
8379,LA,WAS,1,10,NO HUDDLE,1,2,11
8384,PIT,PHI,1,10,SHOTGUN,1,20,10
8388,PIT,PHI,2,1,UNDER CENTER,0,20,10
8389,PIT,PHI,1,1,UNDER CENTER,0,20,10
8392,PIT,PHI,2,6,SHOTGUN,0,20,10
8393,PHI,PIT,2,10,SHOTGUN,1,3,13
8394,PHI,PIT,1,10,SHOTGUN,1,3,13
8395,KC,LV,1,10,SHOTGUN,1,27,23
8397,KC,LV,2,10,UNDER CENTER,1,27,23
8398,KC,LV,1,10,UNDER CENTER,1,27,23
8400,HOU,JAX,4,4,SHOTGUN,1,31,27
8401,HOU,JAX,3,4,SHOTGUN,1,31,27
8403,LAC,TB,3,1,UNDER CENTER,0,6,1
8404,LAC,TB,2,1,UNDER CENTER,0,6,1
8405,LAC,TB,1,10,UNDER CENTER,1,6,1
8406,LAC,TB,2,9,SHOTGUN,1,6,1
8407,LAC,TB,1,10,SHOTGUN,0,6,1
8410,TB,LAC,2,10,SHOTGUN,1,14,20
8411,LAC,TB,2,21,SHOTGUN,0,6,1
8414,LAC,TB,1,10,UNDER CENTER,0,6,1
8416,TB,LAC,2,9,SHOTGUN,1,14,20
8417,TB,LAC,1,10,UNDER CENTER,0,14,20
8418,TB,LAC,2,12,SHOTGUN,1,14,20
8421,MIA,SEA,3,2,SHOTGUN,0,13,4
8423,SEA,MIA,1,1,SHOTGUN,0,25,16
8424,SEA,MIA,1,10,UNDER CENTER,1,25,16
8425,SEA,MIA,2,8,SHOTGUN,1,25,16
8426,SEA,MIA,1,10,SHOTGUN,0,25,16
8429,BAL,WAS,2,2,SHOTGUN,0,2,11
8430,BAL,WAS,1,10,SHOTGUN,0,2,11
8431,WAS,BAL,2,2,UNDER CENTER,0,4,26
8432,WAS,BAL,1,10,SHOTGUN,1,4,26
8433,WAS,BAL,4,2,SHOTGUN,1,4,26
8434,WAS,BAL,3,2,SHOTGUN,1,4,26
8435,WAS,BAL,2,10,SHOTGUN,1,4,26
8436,BAL,WAS,1,10,SHOTGUN,0,2,11
8437,BAL,WAS,2,12,SHOTGUN,1,2,11
8439,BAL,WAS,3,1,SHOTGUN,0,2,11
8440,WAS,BAL,1,10,NO HUDDLE SHOTGUN,1,4,26
8441,WAS,BAL,1,10,NO HUDDLE SHOTGUN,1,4,26
8443,BAL,WAS,3,7,SHOTGUN,1,2,11
8444,BAL,WAS,2,7,SHOTGUN,1,2,11
8446,WAS,BAL,2,2,SHOTGUN,0,4,26
8447,WAS,BAL,1,1,UNDER CENTER,0,4,26
8448,WAS,BAL,2,1,SHOTGUN,0,4,26
8449,WAS,BAL,1,10,UNDER CENTER,0,4,26
8451,WAS,BAL,3,7,SHOTGUN,1,4,26
8452,WAS,BAL,2,7,SHOTGUN,1,4,26
8453,WAS,BAL,1,10,UNDER CENTER,0,4,26
8455,TB,LAC,1,7,UNDER CENTER,0,14,20
8458,DET,NO,4,11,SHOTGUN,1,5,5
8459,DET,NO,3,11,SHOTGUN,1,5,5
8460,DET,NO,2,12,SHOTGUN,1,5,5
8464,DET,NO,1,10,SHOTGUN,1,5,5
8466,DET,NO,1,10,SHOTGUN,0,5,5
8468,NO,DET,2,6,UNDER CENTER,0,32,14
8469,DAL,CLE,2,10,SHOTGUN,1,18,12
8470,DAL,CLE,1,10,SHOTGUN,1,18,12
8472,CLE,DAL,1,10,UNDER CENTER,0,21,30
8474,DAL,CLE,2,5,SHOTGUN,1,18,12
8475,DAL,CLE,1,5,NO HUDDLE SHOTGUN,1,18,12
8476,BAL,WAS,3,6,SHOTGUN,0,2,11
8480,BAL,WAS,1,10,SHOTGUN,0,2,11
8482,SEA,MIA,1,10,SHOTGUN,0,25,16
8483,SEA,MIA,1,10,SHOTGUN,1,25,16
8484,SEA,MIA,1,10,SHOTGUN,1,25,16
8486,SEA,MIA,2,3,SHOTGUN,1,25,16
8489,SEA,MIA,1,7,SHOTGUN,1,25,16
8492,CIN,JAX,3,1,SHOTGUN,0,31,27
8493,CIN,JAX,2,2,SHOTGUN,0,31,27
8494,CIN,JAX,1,10,UNDER CENTER,0,31,27
8496,CIN,JAX,3,1,SHOTGUN,0,31,27
8497,CIN,JAX,2,10,SHOTGUN,1,31,27
8498,CIN,JAX,1,10,SHOTGUN,1,31,27
8499,CIN,JAX,2,2,UNDER CENTER,0,31,27
8500,CIN,JAX,1,5,SHOTGUN,1,31,27
8503,CIN,JAX,1,10,UNDER CENTER,0,31,27
8504,CIN,JAX,1,10,UNDER CENTER,1,31,27
8506,NO,DET,3,3,UNDER CENTER,0,32,14
8509,TB,DEN,3,2,SHOTGUN,1,15,29
8510,DEN,TB,2,4,NO HUDDLE SHOTGUN,1,6,1
8511,DEN,TB,1,10,NO HUDDLE SHOTGUN,1,6,1
8513,TB,DEN,1,10,UNDER CENTER,0,15,29
8515,GB,NO,2,1,UNDER CENTER,1,5,5
8518,GB,NO,1,1,SHOTGUN,0,5,5
8520,GB,NO,2,5,SHOTGUN,0,5,5
8521,GB,NO,1,10,SHOTGUN,0,5,5
8522,GB,NO,1,10,SHOTGUN,0,5,5
8525,JAX,CIN,2,10,SHOTGUN,1,26,31
8526,CIN,JAX,1,9,SHOTGUN,1,31,27
8531,IND,CHI,3,10,SHOTGUN,1,17,8
8532,IND,CHI,2,10,SHOTGUN,0,17,8
8533,IND,CHI,1,10,SHOTGUN,1,17,8
8538,IND,CHI,2,11,SHOTGUN,1,17,8
8540,IND,CHI,1,10,SHOTGUN,0,17,8
8544,IND,CHI,3,3,SHOTGUN,1,17,8
8545,IND,CHI,2,3,SHOTGUN,1,17,8
8548,CHI,IND,3,5,SHOTGUN,1,16,2
8549,CHI,IND,3,7,SHOTGUN,1,16,2
8550,CHI,IND,2,10,SHOTGUN,0,16,2
8551,CHI,IND,1,10,SHOTGUN,1,16,2
8552,CHI,IND,3,1,SHOTGUN,0,16,2
8553,CHI,IND,2,4,UNDER CENTER,0,16,2
8555,IND,CHI,3,5,SHOTGUN,1,17,8
8556,CAR,ARI,2,8,UNDER CENTER,0,8,25
8557,CAR,ARI,1,10,UNDER CENTER,0,8,25
8560,CAR,ARI,1,10,SHOTGUN,1,8,25
8562,CAR,ARI,1,2,SHOTGUN,1,8,25
8564,CAR,ARI,1,10,SHOTGUN,1,8,25
8565,CAR,ARI,2,8,UNDER CENTER,1,8,25
8566,CAR,ARI,1,10,UNDER CENTER,0,8,25
8567,CAR,ARI,1,10,UNDER CENTER,0,8,25
8569,DAL,CLE,4,3,SHOTGUN,1,18,12
8570,DAL,CLE,3,10,SHOTGUN,1,18,12
8571,DAL,CLE,2,10,SHOTGUN,1,18,12
8572,DAL,CLE,1,10,NO HUDDLE SHOTGUN,1,18,12
8577,ARI,CAR,1,10,SHOTGUN,0,12,28
8580,CAR,ARI,2,10,SHOTGUN,0,8,25
8582,CAR,ARI,2,1,UNDER CENTER,0,8,25
8584,CAR,ARI,1,2,SHOTGUN,1,8,25
